,start,beta,natom,nmol,energy
433,500,25,100,10,375.20239349356694
434,500,0,30,64,82.64832568142722
435,700,0,40,10,132.21393598210292
436,400,0,100,32,420.804594453214
437,100,0,90,10,363.6588128823674
438,600,0,40,32,137.30474386759553
439,900,0,90,32,441.9459277938556
440,300,25,60,32,155.51231138506685
441,300,25,50,32,142.52267704359846
442,700,0,90,64,397.832057479107
443,100,25,40,64,87.09978191987972
444,500,0,40,10,134.9033217290094
445,100,0,20,32,55.85714848806262
446,700,25,100,64,346.6204997748972
447,100,0,80,10,286.35576219378925
448,500,25,100,32,313.1659382731174
449,600,0,50,64,220.2116926152479
450,100,0,40,32,127.78026364328264
451,600,0,40,64,157.38460505800617
452,800,25,20,10,49.35074894713913
453,300,0,30,32,80.717413487196
454,400,0,40,10,129.79638937757028
455,600,0,20,64,45.140230283660784
456,900,25,20,64,184.4675412768068
457,700,0,80,10,349.55713618636383
458,500,0,10,64,42.80323521968957
459,200,0,50,32,234.14652396626528
460,400,25,70,32,179.54389073484174
461,700,0,50,32,203.8831950261056
462,500,0,10,10,58.15324710635999
463,300,25,90,64,233.2790821821711
464,900,25,30,32,92.28221427112639
465,900,0,100,10,399.01236005753
466,600,25,100,10,212.98132346040788
467,200,0,10,32,27.662320161069843
468,800,25,90,32,234.77896846597957
469,900,25,60,64,248.67896563109633
470,200,0,90,32,337.9502220898956
471,300,0,10,64,36.94099701045814
472,600,25,10,32,84.97601140773368
473,100,0,40,64,142.2197092000379
474,400,0,30,32,79.2592534757101
475,200,25,50,32,120.56323582761794
476,500,25,60,64,173.94665073996742
477,800,0,100,64,427.47158575376267
478,300,25,20,32,63.55331741079567
479,100,0,60,32,253.44242048514502
480,200,0,80,10,268.6680977472563
481,300,25,30,32,67.48259036249443
482,600,0,80,32,335.4044983948164
483,100,25,40,32,91.84962228643467
484,600,0,90,10,488.25522548476494
485,700,0,80,32,321.76822664890756
486,100,25,100,32,224.61626432603572
487,500,25,10,64,49.85832313893696
488,500,0,70,64,331.5364259219466
489,500,25,100,64,271.37479663366844
490,900,0,40,64,160.28547086888634
491,400,0,70,32,326.7298919990104
492,300,0,60,64,231.99079649285355
493,300,0,90,10,436.50662698438566
494,600,25,90,10,196.47421872361323
495,700,0,40,64,148.78404757596888
496,300,0,50,64,198.33205834619588
497,300,0,60,10,333.8222507590019
498,100,25,10,64,33.25168852669665
499,100,0,70,10,403.70763605973264
500,500,0,40,32,159.15457202160292
501,200,25,40,64,102.01146431083762
502,800,0,30,10,122.1714135068643
503,800,25,90,10,194.06982950922514
504,200,0,80,32,328.59591365048044
505,400,25,30,64,55.977075313738986
506,300,25,60,64,205.02436280771315
507,800,25,10,32,120.17483818037628
508,200,25,70,10,202.904603619177
509,300,25,60,10,159.51224653085163
510,400,0,40,10,107.34382291954981
511,400,0,20,10,35.191663543864536
512,800,0,90,64,380.33675201415673
513,600,25,60,64,236.2973205803181
514,600,0,50,32,217.26863473190807
515,400,25,10,64,35.02833111581073
516,500,25,30,64,83.68862669753479
517,200,25,20,32,53.061345087824
518,500,0,80,32,388.90130988534645
519,200,25,100,64,259.7147568710727
520,400,25,30,10,53.37778420571868
521,400,25,20,64,75.61670585748803
522,500,25,60,10,161.1706501664046
523,100,25,80,64,209.67191858088424
524,900,25,80,32,228.3522158359378
525,400,0,10,10,64.60620260428448
526,200,25,60,32,146.3178692263224
527,500,25,90,64,272.5943755094575
528,400,0,20,32,119.27724994531486
529,500,25,80,10,269.6350050646971
530,200,0,20,64,41.74848241583882
531,800,0,20,32,58.237203234541255
532,100,0,100,32,408.6747879808567
533,800,25,50,64,145.41731928369546
534,400,25,90,64,290.96909297273055
